"","date","type","daily","n"
"1",2022-01-05,"sides",-0.333333333333333,3
"2",2022-01-05,"simple",-0.333333333333333,3
"3",2022-01-05,"war",0,3
"4",2022-01-06,"sides",0,3
"5",2022-01-06,"simple",-0.333333333333333,3
"6",2022-01-06,"war",-0.333333333333333,3
"7",2022-01-07,"sides",0,2
"8",2022-01-07,"simple",-0.5,2
"9",2022-01-07,"war",-1,2
"10",2022-01-08,"sides",-1,1
"11",2022-01-08,"simple",-1,1
"12",2022-01-08,"war",-1,1
"13",2022-01-09,"sides",-0.5,2
"14",2022-01-09,"simple",-0.5,2
"15",2022-01-09,"war",-0.5,2
"16",2022-01-10,"sides",-0.25,8
"17",2022-01-10,"simple",-0.625,8
"18",2022-01-10,"war",-0.625,8
"19",2022-01-11,"sides",0.5,2
"20",2022-01-11,"simple",-1,2
"21",2022-01-11,"war",-1,2
"22",2022-01-12,"sides",0.25,8
"23",2022-01-12,"simple",-0.125,8
"24",2022-01-12,"war",-0.625,8
"25",2022-01-13,"sides",-0.333333333333333,3
"26",2022-01-13,"simple",-1,3
"27",2022-01-13,"war",-1,3
"28",2022-01-14,"sides",0,3
"29",2022-01-14,"simple",0,3
"30",2022-01-14,"war",-0.666666666666667,3
"31",2022-01-16,"sides",-1,1
"32",2022-01-16,"simple",-1,1
"33",2022-01-16,"war",-1,1
"34",2022-01-17,"sides",0,1
"35",2022-01-17,"simple",-1,1
"36",2022-01-17,"war",-1,1
"37",2022-01-19,"sides",-0.5,2
"38",2022-01-19,"simple",0,2
"39",2022-01-19,"war",-1,2
"40",2022-01-20,"sides",0.5,2
"41",2022-01-20,"simple",-0.5,2
"42",2022-01-20,"war",-0.5,2
"43",2022-01-21,"sides",0,8
"44",2022-01-21,"simple",-0.125,8
"45",2022-01-21,"war",-0.375,8
"46",2022-01-22,"sides",0,2
"47",2022-01-22,"simple",-0.5,2
"48",2022-01-22,"war",-1,2
"49",2022-01-23,"sides",1,1
"50",2022-01-23,"simple",0,1
"51",2022-01-23,"war",-1,1
"52",2022-01-24,"sides",1,1
"53",2022-01-24,"simple",0,1
"54",2022-01-24,"war",-1,1
"55",2022-01-25,"sides",-0.4,5
"56",2022-01-25,"simple",-0.6,5
"57",2022-01-25,"war",-0.8,5
"58",2022-01-26,"sides",-0.4,5
"59",2022-01-26,"simple",-0.2,5
"60",2022-01-26,"war",-0.6,5
"61",2022-01-27,"sides",-1,6
"62",2022-01-27,"simple",-1,6
"63",2022-01-27,"war",-1,6
"64",2022-01-28,"sides",0.5,4
"65",2022-01-28,"simple",-0.25,4
"66",2022-01-28,"war",-0.5,4
"67",2022-01-29,"sides",-0.75,4
"68",2022-01-29,"simple",-0.75,4
"69",2022-01-29,"war",-0.5,4
"70",2022-01-30,"sides",0,2
"71",2022-01-30,"simple",-1,2
"72",2022-01-30,"war",-1,2
"73",2022-01-31,"sides",0.285714285714286,7
"74",2022-01-31,"simple",-0.571428571428571,7
"75",2022-01-31,"war",-0.571428571428571,7
"76",2022-02-01,"sides",-0.333333333333333,3
"77",2022-02-01,"simple",-0.666666666666667,3
"78",2022-02-01,"war",-0.333333333333333,3
"79",2022-02-02,"sides",0.25,4
"80",2022-02-02,"simple",-0.25,4
"81",2022-02-02,"war",-0.5,4
"82",2022-02-03,"sides",-0.333333333333333,6
"83",2022-02-03,"simple",0,6
"84",2022-02-03,"war",-0.666666666666667,6
"85",2022-02-04,"sides",-0.666666666666667,9
"86",2022-02-04,"simple",-0.555555555555556,9
"87",2022-02-04,"war",-0.777777777777778,9
"88",2022-02-05,"sides",0,1
"89",2022-02-05,"simple",-1,1
"90",2022-02-05,"war",0,1
"91",2022-02-06,"sides",0.5,2
"92",2022-02-06,"simple",-0.5,2
"93",2022-02-06,"war",0.5,2
"94",2022-02-07,"sides",-0.25,8
"95",2022-02-07,"simple",-0.25,8
"96",2022-02-07,"war",-0.25,8
"97",2022-02-08,"sides",0.142857142857143,7
"98",2022-02-08,"simple",-0.142857142857143,7
"99",2022-02-08,"war",-0.714285714285714,7
"100",2022-02-09,"sides",0.666666666666667,3
"101",2022-02-09,"simple",-0.333333333333333,3
"102",2022-02-09,"war",-0.666666666666667,3
"103",2022-02-10,"sides",-0.5,4
"104",2022-02-10,"simple",-1,4
"105",2022-02-10,"war",-1,4
"106",2022-02-11,"sides",-0.666666666666667,6
"107",2022-02-11,"simple",-0.833333333333333,6
"108",2022-02-11,"war",-1,6
"109",2022-02-12,"sides",0,6
"110",2022-02-12,"simple",-0.166666666666667,6
"111",2022-02-12,"war",0.166666666666667,6
"112",2022-02-13,"sides",0.75,4
"113",2022-02-13,"simple",-0.25,4
"114",2022-02-13,"war",-0.25,4
"115",2022-02-14,"sides",0.5,6
"116",2022-02-14,"simple",0,6
"117",2022-02-14,"war",-0.333333333333333,6
"118",2022-02-15,"sides",-0.5,4
"119",2022-02-15,"simple",-0.5,4
"120",2022-02-15,"war",-0.75,4
"121",2022-02-16,"sides",0.285714285714286,7
"122",2022-02-16,"simple",-0.571428571428571,7
"123",2022-02-16,"war",-0.571428571428571,7
"124",2022-02-17,"sides",-1,3
"125",2022-02-17,"simple",-1,3
"126",2022-02-17,"war",-1,3
"127",2022-02-18,"sides",-0.5,4
"128",2022-02-18,"simple",-0.5,4
"129",2022-02-18,"war",-0.75,4
"130",2022-02-19,"sides",0,6
"131",2022-02-19,"simple",-0.666666666666667,6
"132",2022-02-19,"war",-0.833333333333333,6
"133",2022-02-20,"sides",-0.4,5
"134",2022-02-20,"simple",-0.8,5
"135",2022-02-20,"war",-0.6,5
"136",2022-02-21,"sides",-0.6,5
"137",2022-02-21,"simple",-1,5
"138",2022-02-21,"war",-1,5
"139",2022-02-22,"sides",0,4
"140",2022-02-22,"simple",-0.5,4
"141",2022-02-22,"war",-1,4
"142",2022-02-23,"sides",-0.333333333333333,6
"143",2022-02-23,"simple",-0.666666666666667,6
"144",2022-02-23,"war",-0.333333333333333,6
"145",2022-02-24,"sides",0,6
"146",2022-02-24,"simple",-0.333333333333333,6
"147",2022-02-24,"war",-1,6
"148",2022-02-25,"sides",0,4
"149",2022-02-25,"simple",-0.5,4
"150",2022-02-25,"war",-0.5,4
"151",2022-02-26,"sides",0.333333333333333,3
"152",2022-02-26,"simple",-0.333333333333333,3
"153",2022-02-26,"war",-1,3
"154",2022-02-27,"sides",0.714285714285714,7
"155",2022-02-27,"simple",-0.428571428571429,7
"156",2022-02-27,"war",-0.857142857142857,7
"157",2022-02-28,"sides",-0.25,4
"158",2022-02-28,"simple",-0.75,4
"159",2022-02-28,"war",-1,4
"160",2022-03-01,"sides",0,6
"161",2022-03-01,"simple",-0.5,6
"162",2022-03-01,"war",-0.5,6
"163",2022-03-02,"sides",-0.2,5
"164",2022-03-02,"simple",-1,5
"165",2022-03-02,"war",-1,5
"166",2022-03-03,"sides",0,5
"167",2022-03-03,"simple",-0.4,5
"168",2022-03-03,"war",-1,5
"169",2022-03-04,"sides",-0.2,5
"170",2022-03-04,"simple",-0.6,5
"171",2022-03-04,"war",-0.8,5
"172",2022-03-05,"sides",-0.4,5
"173",2022-03-05,"simple",-0.4,5
"174",2022-03-05,"war",-1,5
"175",2022-03-06,"sides",0,5
"176",2022-03-06,"simple",-0.2,5
"177",2022-03-06,"war",-1,5
"178",2022-03-07,"sides",0.6,5
"179",2022-03-07,"simple",-0.6,5
"180",2022-03-07,"war",-0.6,5
"181",2022-03-08,"sides",0,6
"182",2022-03-08,"simple",-0.333333333333333,6
"183",2022-03-08,"war",-1,6
"184",2022-03-09,"sides",-0.5,4
"185",2022-03-09,"simple",-1,4
"186",2022-03-09,"war",-1,4
"187",2022-03-10,"sides",0.2,5
"188",2022-03-10,"simple",-0.6,5
"189",2022-03-10,"war",-1,5
"190",2022-03-11,"sides",0.4,5
"191",2022-03-11,"simple",-0.6,5
"192",2022-03-11,"war",-1,5
"193",2022-03-12,"sides",-0.2,5
"194",2022-03-12,"simple",-1,5
"195",2022-03-12,"war",-1,5
"196",2022-03-13,"sides",-1,5
"197",2022-03-13,"simple",-1,5
"198",2022-03-13,"war",-1,5
"199",2022-03-14,"sides",0.333333333333333,6
"200",2022-03-14,"simple",0.166666666666667,6
"201",2022-03-14,"war",0,6
"202",2022-03-15,"sides",0.5,4
"203",2022-03-15,"simple",0,4
"204",2022-03-15,"war",-0.75,4
"205",2022-03-16,"sides",-0.2,5
"206",2022-03-16,"simple",-0.6,5
"207",2022-03-16,"war",-1,5
"208",2022-03-17,"sides",-0.2,5
"209",2022-03-17,"simple",-1,5
"210",2022-03-17,"war",-1,5
"211",2022-03-18,"sides",0.166666666666667,6
"212",2022-03-18,"simple",-0.833333333333333,6
"213",2022-03-18,"war",-0.5,6
"214",2022-03-19,"sides",-0.5,4
"215",2022-03-19,"simple",-0.75,4
"216",2022-03-19,"war",-1,4
"217",2022-03-20,"sides",-0.2,5
"218",2022-03-20,"simple",-0.8,5
"219",2022-03-20,"war",-0.8,5
"220",2022-03-21,"sides",0.2,5
"221",2022-03-21,"simple",-0.4,5
"222",2022-03-21,"war",-0.4,5
"223",2022-03-22,"sides",0.6,5
"224",2022-03-22,"simple",-0.6,5
"225",2022-03-22,"war",-0.6,5
"226",2022-03-23,"sides",0.6,5
"227",2022-03-23,"simple",0,5
"228",2022-03-23,"war",-0.4,5
"229",2022-03-24,"sides",1,6
"230",2022-03-24,"simple",0,6
"231",2022-03-24,"war",-1,6
"232",2022-03-25,"sides",1,4
"233",2022-03-25,"simple",0.5,4
"234",2022-03-25,"war",-0.5,4
"235",2022-03-26,"sides",0.2,5
"236",2022-03-26,"simple",-0.4,5
"237",2022-03-26,"war",-0.6,5
"238",2022-03-27,"sides",0.2,5
"239",2022-03-27,"simple",-0.4,5
"240",2022-03-27,"war",-1,5
"241",2022-03-28,"sides",1,2
"242",2022-03-28,"simple",-0.5,2
"243",2022-03-28,"war",-1,2
"244",2022-03-29,"sides",0,8
"245",2022-03-29,"simple",-0.375,8
"246",2022-03-29,"war",-0.25,8
"247",2022-03-30,"sides",-0.5,4
"248",2022-03-30,"simple",-1,4
"249",2022-03-30,"war",-1,4
"250",2022-03-31,"sides",-0.666666666666667,6
"251",2022-03-31,"simple",-0.666666666666667,6
"252",2022-03-31,"war",-0.833333333333333,6
"253",2022-04-01,"sides",0,4
"254",2022-04-01,"simple",-0.75,4
"255",2022-04-01,"war",-0.5,4
"256",2022-04-02,"sides",0.5,6
"257",2022-04-02,"simple",-0.833333333333333,6
"258",2022-04-02,"war",-0.833333333333333,6
"259",2022-04-03,"sides",0.5,4
"260",2022-04-03,"simple",-1,4
"261",2022-04-03,"war",-1,4
"262",2022-04-04,"sides",0.5,6
"263",2022-04-04,"simple",-0.666666666666667,6
"264",2022-04-04,"war",-0.833333333333333,6
"265",2022-04-05,"sides",1,3
"266",2022-04-05,"simple",-0.666666666666667,3
"267",2022-04-05,"war",-0.333333333333333,3
"268",2022-04-06,"sides",0,7
"269",2022-04-06,"simple",-0.714285714285714,7
"270",2022-04-06,"war",-0.857142857142857,7
"271",2022-04-07,"sides",0.5,4
"272",2022-04-07,"simple",0,4
"273",2022-04-07,"war",0,4
"274",2022-04-08,"sides",-0.333333333333333,6
"275",2022-04-08,"simple",-1,6
"276",2022-04-08,"war",-1,6
"277",2022-04-09,"sides",1,4
"278",2022-04-09,"simple",-0.5,4
"279",2022-04-09,"war",-1,4
"280",2022-04-10,"sides",-0.666666666666667,6
"281",2022-04-10,"simple",-0.666666666666667,6
"282",2022-04-10,"war",-0.833333333333333,6
"283",2022-04-11,"sides",0.4,5
"284",2022-04-11,"simple",-0.6,5
"285",2022-04-11,"war",-0.6,5
"286",2022-04-12,"sides",0.2,5
"287",2022-04-12,"simple",-1,5
"288",2022-04-12,"war",-1,5
"289",2022-04-13,"sides",0.714285714285714,7
"290",2022-04-13,"simple",-0.142857142857143,7
"291",2022-04-13,"war",-0.428571428571429,7
"292",2022-04-14,"sides",0.333333333333333,3
"293",2022-04-14,"simple",0,3
"294",2022-04-14,"war",-0.666666666666667,3
"295",2022-04-15,"sides",0.666666666666667,6
"296",2022-04-15,"simple",-0.5,6
"297",2022-04-15,"war",-0.833333333333333,6
"298",2022-04-16,"sides",0.5,4
"299",2022-04-16,"simple",-0.25,4
"300",2022-04-16,"war",-0.75,4
"301",2022-04-17,"sides",0.5,4
"302",2022-04-17,"simple",-0.5,4
"303",2022-04-17,"war",-1,4
"304",2022-04-18,"sides",-0.5,6
"305",2022-04-18,"simple",-0.833333333333333,6
"306",2022-04-18,"war",-1,6
"307",2022-04-19,"sides",0.5,4
"308",2022-04-19,"simple",0,4
"309",2022-04-19,"war",-0.5,4
"310",2022-04-20,"sides",0,6
"311",2022-04-20,"simple",-0.166666666666667,6
"312",2022-04-20,"war",-0.666666666666667,6
"313",2022-04-21,"sides",0,6
"314",2022-04-21,"simple",-0.666666666666667,6
"315",2022-04-21,"war",-1,6
"316",2022-04-22,"sides",0.5,4
"317",2022-04-22,"simple",-0.5,4
"318",2022-04-22,"war",-0.75,4
"319",2022-04-23,"sides",0.5,4
"320",2022-04-23,"simple",0,4
"321",2022-04-23,"war",0,4
"322",2022-04-24,"sides",0.666666666666667,6
"323",2022-04-24,"simple",0,6
"324",2022-04-24,"war",0.166666666666667,6
"325",2022-04-25,"sides",0.6,5
"326",2022-04-25,"simple",-0.4,5
"327",2022-04-25,"war",-0.4,5
"328",2022-04-26,"sides",0.2,5
"329",2022-04-26,"simple",0.2,5
"330",2022-04-26,"war",-0.2,5
"331",2022-04-27,"sides",0.285714285714286,7
"332",2022-04-27,"simple",-0.285714285714286,7
"333",2022-04-27,"war",-0.571428571428571,7
"334",2022-04-28,"sides",0,3
"335",2022-04-28,"simple",-0.666666666666667,3
"336",2022-04-28,"war",-0.333333333333333,3
"337",2022-04-29,"sides",0.8,5
"338",2022-04-29,"simple",-0.8,5
"339",2022-04-29,"war",-0.6,5
"340",2022-04-30,"sides",0.2,5
"341",2022-04-30,"simple",-0.8,5
"342",2022-04-30,"war",-1,5
"343",2022-05-01,"sides",0.666666666666667,6
"344",2022-05-01,"simple",-0.333333333333333,6
"345",2022-05-01,"war",-0.666666666666667,6
"346",2022-05-02,"sides",-0.5,4
"347",2022-05-02,"simple",-0.5,4
"348",2022-05-02,"war",-0.5,4
"349",2022-05-03,"sides",0.5,6
"350",2022-05-03,"simple",0.166666666666667,6
"351",2022-05-03,"war",-0.666666666666667,6
"352",2022-05-04,"sides",0.25,4
"353",2022-05-04,"simple",-0.25,4
"354",2022-05-04,"war",-0.25,4
"355",2022-05-05,"sides",0.25,4
"356",2022-05-05,"simple",0,4
"357",2022-05-05,"war",-0.25,4
"358",2022-05-06,"sides",0.5,6
"359",2022-05-06,"simple",0.166666666666667,6
"360",2022-05-06,"war",-0.833333333333333,6
"361",2022-05-07,"sides",0.8,5
"362",2022-05-07,"simple",-0.2,5
"363",2022-05-07,"war",-0.2,5
"364",2022-05-08,"sides",0,5
"365",2022-05-08,"simple",-0.2,5
"366",2022-05-08,"war",-0.2,5
"367",2022-05-09,"sides",0.5,4
"368",2022-05-09,"simple",-0.25,4
"369",2022-05-09,"war",-0.5,4
"370",2022-05-10,"sides",-0.166666666666667,6
"371",2022-05-10,"simple",-0.333333333333333,6
"372",2022-05-10,"war",-0.666666666666667,6
"373",2022-05-11,"sides",0,5
"374",2022-05-11,"simple",-0.4,5
"375",2022-05-11,"war",-1,5
