"","header","link","desc","date","author"
"1","","","","",""
"2","Trump Signs Executive Order Calling for Review of U.S. Funding and Ties to U.N.","/2025/02/04/us/politics/trump-united-nations-unrwa.html","The move cast uncertainty on the leadership role of the United States in the global body. The president also withdrew from the U.N.’s Human Rights Council and stopped funding UNRWA.","Feb. 4, 2025","By Farnaz Fassihi"
"3","Trump Urges Trading Ukraine’s Rare Earth Minerals for More U.S. Aid","/2025/02/03/world/europe/trump-ukraine-rare-earth-minerals.html","Ukraine has already emphasized that by supporting its war effort, the U.S. could get access to the country’s wealth of critical minerals like lithium and uranium.","Feb. 3, 2025","By Constant Méheut"
"4","Standoff at Ukrainian Agency Disrupts Arms Contracts, Suppliers Say","/2025/02/03/world/europe/ukraine-arms-contracts-payment-disruptions-army.html","Ukrainian defense companies say they cannot sign new contracts or receive payment — potentially jeopardizing future supplies to already struggling troops.","Feb. 3, 2025","By Constant Méheut"
"5","What Stood Out in Trump’s Speech to Davos","/video/us/politics/100000009942419/what-stood-out-in-trumps-speech-to-davos.html","During his campaign, Donald J. Trump vowed to end the Ukraine war by Day 1 of his new term as president. Jeanna Smialek, the Brussels bureau chief for The New York Times, looks at how he described the war in an appearance at the World Economic Forum since taking office.","Jan. 24, 2025","By Jeanna Smialek, Theodore Tae, Christina Shaman and Claire Hogan"
"6","Did Ukraine Kill Its Own by Downing a Russian Plane? A Year Later, It Hasn’t Said.","/2025/01/24/world/europe/ukraine-russia-belgorod-plane-pows.html","Russia says Ukraine shot down a military transport carrying 65 captured Ukrainians. Ukraine has not confirmed its role, identified the bodies it received, or said how it happened.","Jan. 24, 2025","By Cassandra Vinograd and Maria Varenikova"
"7","Trump Is Leading a Global Surge to the Right","/2025/01/23/world/europe/trump-europe-right-immigration-ukraine.html","But not all of the leading conservative populist parties in the world are the same — in rhetoric or on policy.","Jan. 23, 2025","By Jim Tankersley, Emma Bubola, Andrew Higgins and Aurelien Breeden"
"8","With Support Dwindling and Trump in Power, Zelensky Could Face Tough Re-election","/2025/01/23/world/europe/ukraine-zelensky-trump.html","The high popularity that the Ukrainian president had in the early days of the Russian invasion, with an approval rating of about 90 percent, has dipped badly.","Jan. 23, 2025","By Andrew E. Kramer and Kenneth P. Vogel"
"9","Britain Says Russian Spy Ship Returned to U.K. Waters in Sign of Kremlin Threat","/2025/01/22/world/europe/britain-russia-spy-ship.html","The British defense secretary told Parliament that the Yantar, which he described as a Russian spy ship, had come near Britain’s coast for the second time in a few months.","Jan. 22, 2025","By Stephen Castle and Michael Schwirtz"
"10","Fighting Alongside Russia, North Koreans Wage Their Own War","/2025/01/22/world/europe/north-korea-soldiers-ukraine.html","Ukrainian forces described a different kind of enemy, fighting with unfamiliar tactics and little option to retreat.","Jan. 22, 2025","By Marc Santora and Helene Cooper"
